7.24 13.17
6.72 9.57
6.46 11.63
6.95 12.6
5.38 13.27
5.73 11.79
4.48 13.31
7.51 12.84
-999 -999
7.68 11.11
8.43 12.05
7.61 10.02
7.77 12.43
5.94 13.01
6.7 13.1
7.54 14.04
4.53 12.2
5.64 13.13
5.44 13.05
5.79 13.53
-999 -999
7.2 12
-999 -999
4.95 13.52
5.72 13.6
6.03 12.36
5.46 12.35
4.54 11.53
4.62 13.66
7.04 13
5.91 13.49
-999 -999
6.71 11.35
6.05 12.99
6.59 13.32
4.12 12.31
6.05 13.51
5.57 12.62
5.73 14.22
5.53 13.3
-999 -999
5.43 14.37
6.26 14.37
4.02 13.28
4.87 13.11
6.39 13.33
5.86 11.55
5.71 11.88
-999 -999
5.49 17.3
5.53 17.06
3.46 15.98
5.36 14.53
6.15 14.23
5.64 13.67
5.58 12.02
6.79 11.28
-999 -999
6.84 11.46
6.16 13.67
4.06 15.14
4.73 13.27
1.91 14.58
4.98 12.95
6.68 11.11
6.66 13.06
5.79 12.83
7.58 13.87
-999 -999
-999 -999
4.87 15.03
4.1 12.23
4.92 12.12
4.97 15.69
-999 -999
6.18 12.51
5.22 13.49
4.85 13.18
4.98 11.93
6.21 11.11
5.15 15.32
5.48 14.83
6.68 12.54
6.93 13.12
5.61 13.23
5.71 13.57
-999 -999
6.21 13.05
7.26 12.51
5.73 14.29
5.97 15.51
5.36 15.27
4.98 15.88
6.21 13.51
6.9 14.46
7.96 10.97
6.74 12.26
7.5 11.7
4.93 12.55
4.32 11.15
